"2023-03-01 12:49:59 [main] INFO  c.s.ServiceRegistryEurekaApplication - Starting ServiceRegistryEurekaApplication using Java 19.0.1 with PID 22372 (E:\Microservices-projects\Microservices_project\Service-Registry-Eureka\target\classes started by RAJA PALAI in E:\Microservices-projects\Microservices_project\Service-Registry-Eureka)
""2023-03-01 12:49:59 [main] INFO  c.s.ServiceRegistryEurekaApplication - No active profile set, falling back to 1 default profile: "default"
""2023-03-01 12:50:00 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=d8fbff71-e7ef-3b5b-9072-3ae2d7d4d716
""2023-03-01 12:50:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8761 (http)
""2023-03-01 12:50:01 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2023-03-01 12:50:01 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
""2023-03-01 12:50:01 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2023-03-01 12:50:01 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2030 ms
""2023-03-01 12:50:03 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
""2023-03-01 12:50:03 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
""2023-03-01 12:50:03 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
""2023-03-01 12:50:03 [main] INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
""2023-03-01 12:50:04 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
""2023-03-01 12:50:04 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
""2023-03-01 12:50:04 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
""2023-03-01 12:50:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
""2023-03-01 12:50:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Client configured to neither register nor query for data.
""2023-03-01 12:50:04 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1677655204579 with initial instances count: 0
""2023-03-01 12:50:04 [main] INFO  c.n.e.DefaultEurekaServerContext - Initializing ...
""2023-03-01 12:50:04 [main] WARN  c.n.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
""2023-03-01 12:50:04 [main] INFO  c.n.e.r.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
""2023-03-01 12:50:04 [main] INFO  c.n.e.DefaultEurekaServerContext - Initialized
""2023-03-01 12:50:04 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
""2023-03-01 12:50:04 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application UNKNOWN with eureka with status UP
""2023-03-01 12:50:04 [Thread-9] INFO  o.s.c.n.e.s.EurekaServerBootstrap - isAws returned false
""2023-03-01 12:50:04 [Thread-9] INFO  o.s.c.n.e.s.EurekaServerBootstrap - Initialized server context
""2023-03-01 12:50:04 [Thread-9] INFO  c.n.e.r.PeerAwareInstanceRegistryImpl - Got 1 instances from neighboring DS node
""2023-03-01 12:50:04 [Thread-9] INFO  c.n.e.r.PeerAwareInstanceRegistryImpl - Renew threshold is: 1
""2023-03-01 12:50:04 [Thread-9] INFO  c.n.e.r.PeerAwareInstanceRegistryImpl - Changing status to UP
""2023-03-01 12:50:04 [Thread-9] INFO  o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
""2023-03-01 12:50:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8761 (http) with context path ''
""2023-03-01 12:50:04 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8761
""2023-03-01 12:50:05 [main] INFO  c.s.ServiceRegistryEurekaApplication - Started ServiceRegistryEurekaApplication in 6.552 seconds (process running for 10.081)
""2023-03-01 12:50:30 [http-nio-8761-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2023-03-01 12:50:30 [http-nio-8761-exec-3] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance PRODUCT-SERVICE/LAPTOP-S7I1GPA2:PRODUCT-SERVICE:9001 with status UP (replication=false)
""2023-03-01 12:50:44 [http-nio-8761-exec-6] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance INVENTORY-SERVICE/LAPTOP-S7I1GPA2:INVENTORY-SERVICE:9002 with status UP (replication=false)
""2023-03-01 12:51:04 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2023-03-01 12:52:04 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2023-03-01 12:53:04 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 4ms
""2023-03-01 12:54:04 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2023-03-01 12:55:04 [Eureka-EvictionTimer] INFO  c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
""2023-03-01 12:55:27 [http-nio-8761-exec-3] INFO  c.n.e.r.AbstractInstanceRegistry - Registered instance PRODUCT-SERVICE/LAPTOP-S7I1GPA2:PRODUCT-SERVICE:9001 with status DOWN (replication=false)
